_id,ov,clientName,createdAt,status
5feb55c3c5f47351ce32eeae,6553050,ELIZABETH PORCELANATO LTDA,1609258521116,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 500.000,00"",""Compromisso Total"":""R$ 495.941,45"",""Valor Pedido"":""R$ 53.555,04"",""Grau de utilização"":""99.19%""},""icon"":""search""},{""step"":2,""label"":""Limite excedido, reestruturando o crédito"",""icon"":""refresh""},{""step"":3,""label"":""Pedido bloqueado - Esse pedido excederá o limite"",""content"":{""Limite de crédito"":""R$ 500.000,00"",""Compromisso Total"":""R$ 495.941,45"",""Valor Pedido"":""R$ 53.555,04"",""Grau de utilização"":""99.19%""},""icon"":""slash""}]"
5feb5e5ec5f47351ce3b906f,6638976,CRISTAL PET DO BRASIL INDUSTRIA DE,1609260744810,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 1.250.000,00"",""Compromisso Total"":""R$ 1.087.729,16"",""Valor Pedido"":""R$ 410.108,40"",""Grau de utilização"":""87.02%""},""icon"":""search""},{""step"":2,""label"":""Limite excedido, reestruturando o crédito"",""icon"":""refresh""},{""step"":3,""label"":""Pedido bloqueado - Esse pedido excederá o limite"",""content"":{""Limite de crédito"":""R$ 1.250.000,00"",""Compromisso Total"":""R$ 1.087.729,16"",""Valor Pedido"":""R$ 410.108,40"",""Grau de utilização"":""87.02%""},""icon"":""slash""}]"
5feb675dc5f47351ce449c66,6588552,ENGEPACK EMBALAGENS SAO PAULO,1609262957336,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 2.290.000,00"",""Compromisso Total"":""R$ 1.976.839,00"",""Valor Pedido"":""R$ 40.950,00"",""Grau de utilização"":""86.32%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar OV"",""icon"":""x""}]"
5fec6b8dc5f47351ce455b98,6630511,AW FABER CASTELL S/A,1609333143937,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 1.250.000,00"",""Compromisso Total"":""R$ 1.267.619,19"",""Valor Pedido"":""R$ 4.243,11"",""Grau de utilização"":""101.41%""},""icon"":""search""},{""step"":2,""label"":""Limite excedido, reestruturando o crédito"",""icon"":""refresh""},{""step"":3,""label"":""Pedido bloqueado - Esse pedido não será liberado até que o limite seja regularizado"",""content"":{""Limite de crédito"":""R$ 1.250.000,00"",""Compromisso Total"":""R$ 1.267.619,19"",""Valor Pedido"":""R$ 4.243,11"",""Grau de utilização"":""101.41%""},""icon"":""slash""}]"
5feca160c5f47351ce833a75,6586627,"ARO EXPORTACAO, IMPORTACAO, IND COM",1609352217830,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 0,00"",""Compromisso Total"":""R$ 49.704,20"",""Valor Pedido"":""R$ 63.984,17"",""Grau de utilização"":""0%""},""icon"":""search""},{""step"":2,""label"":""Ov liberada"",""content"":{""Compromisso Especial"":""R$ 91.966,81"",""Compromisso Total"":""R$ 49.704,20"",""Valor Pedido"":""R$ 63.984,17"",""Grau de utilização"":""0%""},""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar OV"",""icon"":""x""},{""step"":5,""label"":""Pedido não encontrado: Favor verificar se já foi liberado."",""icon"":""x""}]"
5fecc72fc5f47351ceabc172,6561279,SHAMARA ALIMENTOS LTDA - EPP,1609353044807,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 140.000,00"",""Compromisso Total"":""R$ 0,00"",""Valor Pedido"":""R$ 25.733,60"",""Grau de utilização"":""0%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Problema ao liberar OV"",""icon"":""x""}]"
5fecdc81c5f47351cec3982b,6561096,D & A DECORACAO E AMBIENTACAO,1609358483959,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 250.000,00"",""Compromisso Total"":""R$ 161.869,79"",""Valor Pedido"":""R$ 736,70"",""Grau de utilização"":""64.75%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Pedido não encontrado: Favor verificar se já foi liberado."",""icon"":""x""}]"
5fed089bc5f47351ceeed615,6524994,PAMPLONA ALIMENTOS S.A,1609371689456,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 2.500.000,00"",""Compromisso Total"":""R$ 2.668.249,95"",""Valor Pedido"":""R$ 120.320,00"",""Grau de utilização"":""106.73%""},""icon"":""search""},{""step"":2,""label"":""Limite excedido, reestruturando o crédito"",""icon"":""refresh""},{""step"":3,""label"":""Pedido bloqueado - Esse pedido não será liberado até que o limite seja regularizado"",""content"":{""Limite de crédito"":""R$ 2.500.000,00"",""Compromisso Total"":""R$ 2.668.249,95"",""Valor Pedido"":""R$ 120.320,00"",""Grau de utilização"":""106.73%""},""icon"":""slash""}]"
5fed1439c5f47351cefb5caa,6580392,TROPICAL NORDESTE FRUIT,1609784810833,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 150.000,00"",""Compromisso Total"":""R$ 91.216,61"",""Valor Pedido"":""R$ 28.665,00"",""Grau de utilização"":""60.81%""},""icon"":""search""},{""step"":2,""label"":""Crédito dentro do limite"",""icon"":""refresh""},{""step"":5,""label"":""Pedido não encontrado: Favor verificar se já foi liberado."",""icon"":""x""}]"
5ff05f5dc5f47351ce577f3f,6615876,VENTISOL DA AMAZONIA IND. DE,1609588573315,"[{""step"":1,""label"":""Ov encontrada"",""content"":{""Limite de crédito"":""R$ 3.000.000,00"",""Compromisso Total"":""R$ 1.438.809,73"",""Valor Pedido"":""R$ 104.519,25"",""Grau de utilização"":""47.96%""},""icon"":""search""},{""step"":2,""label"":""Pedido bloqueado - Limite Vencido, esse pedido não será liberado até que o limite seja regularizado"",""icon"":""slash""}]"
