_id,ov,intention,user,createdAt
5ff75cac4bd6cf0f14a53e23,6643476,Buscar pedido,aealmeida,2021-01-07T19:10:36.914Z
5ff75d864bd6cf0f14a53e24,6643617,Buscar pedido,kllo00135483,2021-01-07T19:14:14.352Z
5ff75d964bd6cf0f14a53e25,6643477,Buscar pedido,aealmeida,2021-01-07T19:14:30.483Z
5ff75e0a4bd6cf0f14a53e26,6643477,Buscar pedido,aealmeida,2021-01-07T19:16:26.934Z
5ff760474bd6cf0f14a53e27,6591779,Buscar pedido,ngpinheiro,2021-01-07T19:25:59.244Z
5ff768094bd6cf0f14a53e28,6601044,Buscar pedido,ngpinheiro,2021-01-07T19:59:05.176Z
5ff768384bd6cf0f14a53e29,6601045,Buscar pedido,ngpinheiro,2021-01-07T19:59:52.093Z
5ff768804bd6cf0f14a53e2a,6601045,Buscar pedido,ngpinheiro,2021-01-07T20:01:04.189Z
5ff768d74bd6cf0f14a53e2b,6601044,Buscar pedido,ngpinheiro,2021-01-07T20:02:31.860Z
5ff76a764bd6cf0f14a53e2c,6601678,Buscar pedido,KLGM00129649,2021-01-07T20:09:26.220Z
5ff770364bd6cf0f14a53e2d,6641094,Buscar pedido,KLAA00138167,2021-01-07T20:33:58.320Z
5ff7709c4bd6cf0f14a53e2e,6560835,Buscar pedido,GO1_GFA_EXP,2021-01-07T20:35:40.376Z
5ff771064bd6cf0f14a53e2f,6634336,Buscar pedido,KLAA00138167,2021-01-07T20:37:26.488Z
5ff771374bd6cf0f14a53e30,6643913,Buscar pedido,KLGM00129649,2021-01-07T20:38:15.958Z
5ff7713f4bd6cf0f14a53e31,6643465,Buscar pedido,Kltq00128873,2021-01-07T20:38:23.555Z
5ff771624bd6cf0f14a53e32,6635790,Buscar pedido,KLAA00138167,2021-01-07T20:38:58.451Z
5ff771674bd6cf0f14a53e33,6643915,Buscar pedido,KLGM00129649,2021-01-07T20:39:03.214Z
5ff7747c4bd6cf0f14a53e34,6560835,Buscar pedido,GO1_GFA_EXP,2021-01-07T20:52:12.306Z
5ff774e64bd6cf0f14a53e35,6643568,Buscar pedido,botvendas,2021-01-07T20:53:58.489Z
5ff775144bd6cf0f14a53e36,56596771,Buscar pedido,KLAA00124926,2021-01-07T20:54:44.447Z
5ff7756d4bd6cf0f14a53e37,6560835,Buscar pedido,GO1_GFA_EXP,2021-01-07T20:56:13.807Z
5ff775fb4bd6cf0f14a53e38,6589741,Buscar pedido,botvendas,2021-01-07T20:58:35.144Z
5ff776264bd6cf0f14a53e39,6629868,Buscar pedido,KLAA00124926,2021-01-07T20:59:18.794Z
5ff776354bd6cf0f14a53e3a,6588335,Buscar pedido,BE1_GFA_PCP,2021-01-07T20:59:33.564Z
5ff776c74bd6cf0f14a53e3b,6639008,Buscar pedido,botvendas,2021-01-07T21:01:59.212Z
5ff776cd4bd6cf0f14a53e3c,6643530,Buscar pedido,jmrpontes,2021-01-07T21:02:05.080Z
5ff776d04bd6cf0f14a53e3d,6643530,Buscar pedido,KLMR00139634,2021-01-07T21:02:08.716Z
5ff777854bd6cf0f14a53e3e,6639008,Buscar pedido,botvendas,2021-01-07T21:05:09.123Z
5ff777d34bd6cf0f14a53e3f,6630066,Buscar pedido,KLAA00124926,2021-01-07T21:06:27.294Z
5ff777d64bd6cf0f14a53e40,6643530,Buscar pedido,KLMR00139634,2021-01-07T21:06:30.984Z
5ff7780b4bd6cf0f14a53e41,6627312,Buscar pedido,botvendas,2021-01-07T21:07:23.561Z
5ff778d54bd6cf0f14a53e42,6634346,Buscar pedido,botvendas,2021-01-07T21:10:45.420Z
5ff779574bd6cf0f14a53e43,660527,Buscar pedido,botvendas,2021-01-07T21:12:55.951Z
5ff7796a4bd6cf0f14a53e44,6605270,Buscar pedido,botvendas,2021-01-07T21:13:14.060Z
5ff77a024bd6cf0f14a53e45,6605270,Buscar pedido,botvendas,2021-01-07T21:15:46.379Z
5ff77a6d4bd6cf0f14a53e46,1320854,Buscar pedido,KLLF00135518,2021-01-07T21:17:33.624Z
5ff77b114bd6cf0f14a53e47,6594977,Buscar pedido,botvendas,2021-01-07T21:20:17.118Z
5ff77cca4bd6cf0f14a53e48,56596323,Buscar pedido,KLAA00124926,2021-01-07T21:27:38.224Z
5ff77f784bd6cf0f14a53e49,6630066,Buscar pedido,KLAA00124926,2021-01-07T21:39:04.735Z
5ff7820f4bd6cf0f14a53e4a,6643530,Buscar pedido,KLMR00139634,2021-01-07T21:50:07.238Z
5ff782554bd6cf0f14a53e4b,6540652,Buscar pedido,jmklein,2021-01-07T21:51:17.729Z
5ff7849e4bd6cf0f14a53e4c,6540652,Buscar pedido,jmklein,2021-01-07T22:01:02.629Z
5ff785a04bd6cf0f14a53e4d,6643530,Buscar pedido,KLMR00139634,2021-01-07T22:05:20.393Z
5ff785a04bd6cf0f14a53e4e,6643530,Buscar pedido,KLMR00139634,2021-01-07T22:05:20.580Z
